event_time,att,se,ci_low,ci_high
-9,263.28663003662996,451.9664580420211,-622.5676277257313,1149.1408877989911
-8,-27.819368131867975,248.0071918436798,-513.9134641454804,458.2747278817444
-7,311.1665702718331,178.95953619546987,-39.59412067128784,661.9272612149541
-6,120.20669806384115,367.98018086845593,-601.0344564383324,841.4478525660147
-5,29.277930402930522,365.9674708560043,-688.0183124748379,746.574173280699
-4,-24.582417582417563,193.4724069872031,-403.78833527733565,354.6235001125005
-3,158.31894934333988,246.64561651509834,-325.1064590262529,641.7443577129326
-2,291.7224604663631,244.85119164869113,-188.18587516507154,771.6307960977977
-1,-61.72259447869214,352.0011491613457,-751.6448468349297,628.1996578775454
0,-299.95698204234856,415.0191925053559,-1113.394599352846,513.480635268149
1,-234.69096756901672,499.7341974825809,-1214.1699946348754,744.7880594968418
2,95.96342229199345,491.9699252754693,-868.2976312479263,1060.2244758319132
3,-222.77822177822205,890.191120513928,-1967.552817985521,1521.9963744290767
4,-326.9347636490493,443.82201604284546,-1196.8259150930262,542.9563877949278
5,75.53143577733732,791.3472807292477,-1475.5092344519883,1626.5721060066628
6,-210.5661235316416,1007.0107136711051,-2184.3071223270076,1763.1748752637245
7,-16.259844322344282,1081.2863012462287,-2135.5809947649523,2103.061306120264
